Number_of_announcements,Number_of_announced_NLRI_prefixes,Maximum_AS_path_length,Average_edit_distance,Maximum_edit_distance,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
46,88,12,12,0.8,41,5,Normal
40,161,8,8,0.7,34,6,Normal
59,133,13,13,1.1,55,4,Normal
52,138,7,7,0.9,48,4,Normal
49,119,9,9,0.8,46,3,Normal
80,231,11,11,1.3,76,4,Normal
43,126,11,11,0.8,42,1,Normal
23,38,10,10,0.4,22,1,Normal
39,54,12,12,0.7,35,4,Normal
40,134,12,12,0.7,35,5,Normal
32,72,8,8,0.6,30,2,Normal
25,25,12,12,0.4,25,0,Normal
23,27,7,7,0.4,23,0,Normal
22,26,12,12,0.4,20,2,Normal
37,50,8,8,0.7,35,2,Normal
18,27,9,9,0.3,16,2,Normal
32,66,11,11,0.6,23,9,Normal
41,99,10,10,0.7,35,6,Normal
39,51,9,9,0.6,35,4,Normal
45,64,12,12,0.8,40,5,Normal
48,86,10,10,0.8,45,3,Normal
48,74,10,10,0.9,45,3,Normal
43,56,10,10,0.8,41,2,Normal
37,63,8,8,0.6,35,2,Normal
49,72,16,16,0.8,45,4,Normal
35,124,8,8,0.6,32,3,Normal
36,48,19,19,0.6,32,4,Normal
36,48,12,12,0.7,34,2,Normal
29,51,17,16,0.5,28,1,Normal
75,185,12,12,1.3,69,6,Normal
35,74,12,12,0.6,32,3,Normal
36,129,9,9,0.7,35,1,Normal
28,52,11,11,0.5,27,1,Normal
41,66,12,12,0.7,34,7,Normal
21,42,12,12,0.4,19,2,Normal
28,44,10,10,0.5,28,0,Normal
38,58,9,9,0.6,36,2,Normal
24,41,13,13,0.5,23,1,Normal
39,102,14,14,0.7,35,4,Normal
13,22,6,6,0.2,10,3,Normal
28,140,9,9,0.5,22,6,Normal
28,110,10,10,0.5,25,3,Normal
63,285,9,9,1,55,8,Normal
52,99,9,9,0.9,47,5,Normal
31,76,12,12,0.5,29,2,Normal
61,109,15,15,1,61,0,Normal
23,33,15,15,0.4,23,0,Normal
17,25,12,12,0.3,16,1,Normal
39,151,12,12,0.7,32,7,Normal
42,306,8,8,0.7,32,10,Normal
46,215,9,9,0.8,44,2,Normal
49,138,8,8,0.9,49,0,Normal
28,52,8,8,0.5,27,1,Normal
54,224,16,16,0.9,48,6,Normal
54,182,15,15,0.9,49,5,Normal
49,205,15,15,0.8,46,3,Normal
41,129,14,14,0.7,39,2,Normal
28,59,7,7,0.5,25,3,Normal
22,26,6,6,0.4,20,2,Normal
46,98,10,10,0.8,44,2,Normal
32,113,13,13,0.5,26,6,Normal
21,51,8,8,0.4,12,9,Normal
73,229,12,12,1.3,67,6,Normal
80,477,12,12,1.4,77,3,Normal
73,267,13,13,1.3,72,1,Normal
26,51,12,12,0.5,25,1,Normal
42,325,13,13,0.7,35,7,Normal
33,150,11,11,0.6,32,1,Normal
94,592,10,10,1.6,91,3,Normal
45,95,11,11,0.8,45,0,Normal
47,160,14,14,0.8,44,3,Normal
82,286,13,13,1.4,77,5,Normal
56,194,8,8,0.9,54,2,Normal
29,60,8,8,0.5,27,2,Normal
68,259,13,13,1.2,61,7,Normal
63,164,13,13,1.1,59,4,Normal
52,100,11,11,0.9,47,2,Normal
40,108,10,10,0.7,39,0,Normal
52,289,10,10,0.9,47,5,Normal
49,261,11,11,0.8,40,9,Normal
53,207,11,11,0.9,47,6,Normal
29,68,7,7,0.5,25,4,Normal
31,52,9,9,0.6,31,0,Normal
22,39,12,12,0.4,22,0,Normal
31,52,13,13,0.6,29,2,Normal
37,64,9,9,0.7,37,0,Normal
64,313,11,11,1.1,56,8,Normal
49,287,13,13,0.9,42,7,Normal
39,85,13,13,0.7,38,1,Normal
38,99,18,18,0.7,35,3,Normal
33,131,18,18,0.6,31,2,Normal
29,190,9,9,0.5,27,2,Normal
30,229,7,7,0.5,24,6,Normal
19,57,8,8,0.3,18,1,Normal
38,166,8,8,0.6,31,7,Normal
50,276,9,9,0.9,43,7,Normal
28,42,10,10,0.5,21,7,Normal
27,55,8,8,0.5,25,2,Normal
99,486,8,8,1.7,97,2,Normal
15,18,7,7,0.2,15,0,Normal
80,846,8,8,1.3,72,8,Normal
37,102,8,8,0.6,37,0,Normal
45,90,8,8,0.7,45,0,Normal
33,203,9,9,0.6,29,4,Normal
26,52,12,12,0.5,23,3,Normal
21,35,8,8,0.4,19,2,Normal
115,729,9,9,2,114,1,Normal
44,201,9,9,0.8,43,1,Normal
23,40,12,12,0.4,23,0,Normal
51,69,9,9,0.9,45,6,Normal
46,67,10,10,0.8,44,2,Normal
22,65,11,11,0.4,22,0,Normal
26,59,9,9,0.5,26,0,Normal
26,102,9,9,0.5,26,0,Normal
25,42,9,9,0.5,23,2,Normal
51,160,12,12,0.9,42,9,Normal
25,29,9,9,0.4,23,2,Normal
16,19,7,7,0.3,16,0,Normal
26,39,10,10,0.5,24,2,Normal
63,126,16,16,1.1,56,7,Normal
50,95,9,9,0.9,44,4,Normal
58,173,9,9,1,54,4,Normal
66,301,9,9,1.2,56,10,Normal
124,898,12,12,2.1,108,16,Normal
69,258,8,8,1.2,68,1,Normal
32,111,9,9,0.6,28,4,Normal
39,116,9,9,0.7,39,0,Normal
88,302,9,9,1.5,84,4,Normal
46,150,9,9,0.8,45,1,Normal
41,103,9,9,0.7,39,2,Normal
32,53,8,8,0.5,28,4,Normal
49,184,9,9,0.8,47,2,Normal
47,158,8,8,0.8,46,1,Normal
31,77,9,9,0.5,31,0,Normal
61,105,9,9,1.1,60,0,Normal
42,85,11,11,0.7,40,1,Normal
43,93,9,9,0.7,37,6,Normal
72,150,9,9,1.2,66,6,Normal
43,77,17,17,0.8,43,0,Normal
48,67,10,10,0.8,48,0,Normal
43,83,8,8,0.8,43,0,Normal
50,104,10,10,0.9,48,1,Normal
64,128,13,13,1.1,60,4,Normal
127,264,12,12,2.2,120,7,Normal
159,299,17,17,2.7,152,7,Normal
85,239,17,17,1.5,79,6,Normal
32,69,20,20,0.5,32,0,Normal
44,86,17,17,0.8,41,3,Normal
57,134,10,10,1,48,9,Normal
46,105,13,13,0.8,39,7,Normal
34,74,12,12,0.6,28,6,Normal
38,58,14,14,0.7,36,2,Normal
22,29,13,13,0.4,22,0,Normal
38,70,10,10,0.7,36,2,Normal
41,99,9,9,0.7,41,0,Normal
50,110,9,9,0.8,50,0,Normal
30,70,9,9,0.6,30,0,Normal
23,81,6,6,0.4,23,0,Normal
24,93,10,10,0.4,24,0,Normal
36,63,9,9,0.6,36,0,Normal
25,57,10,10,0.4,24,1,Normal
13,18,8,8,0.3,12,1,Normal
45,74,9,9,0.8,39,6,Normal
28,64,15,15,0.5,25,3,Normal
26,64,9,9,0.4,25,1,Normal
42,133,10,10,0.7,41,1,Normal
26,41,9,9,0.4,24,2,Normal
20,41,12,12,0.3,12,8,Normal
22,51,10,10,0.4,19,3,Normal
17,31,10,10,0.3,13,4,Normal
23,28,9,9,0.4,20,3,Normal
27,40,10,10,0.4,25,2,Normal
141,251,10,10,2.3,132,4,Normal
75,131,11,11,1.3,69,6,Normal
88,176,10,10,1.5,84,3,Normal
25,46,10,10,0.4,25,0,Normal
51,101,8,8,0.9,51,0,Normal
39,73,8,8,0.7,39,0,Normal
20,67,8,8,0.3,19,1,Normal
49,172,12,12,0.8,46,3,Normal
27,50,9,9,0.5,21,6,Normal
24,93,9,9,0.4,21,3,Normal
22,86,8,8,0.4,17,5,Normal
20,38,20,20,0.4,18,2,Normal
52,130,19,19,0.9,50,2,Normal
53,199,19,19,0.9,48,5,Normal
29,63,9,9,0.5,29,0,Normal
